"","date","totalevents"
"1",2017-02-01,16535
"2",2017-02-02,24854
"3",2017-02-03,19570
"4",2017-02-04,11042
"5",2017-02-05,6812
"6",2017-02-06,21165
"7",2017-02-07,19925
"8",2017-02-08,18299
"9",2017-02-09,24970
"10",2017-02-10,21224
"11",2017-02-11,11270
"12",2017-02-12,9630
"13",2017-02-13,27546
"14",2017-02-14,25147
"15",2017-02-15,23094
"16",2017-02-16,20634
"17",2017-02-17,16805
"18",2017-02-18,12397
"19",2017-02-19,9007
"20",2017-02-20,24070
"21",2017-02-21,20329
"22",2017-02-22,23358
"23",2017-02-23,23668
"24",2017-02-24,19784
"25",2017-02-25,8634
"26",2017-02-26,8425
"27",2017-02-27,25539
"28",2017-02-28,22165
